,coils EUR/ton
07/08/2018,763.0
08/08/2018,763.0
09/08/2018,763.0
10/08/2018,763.0
11/08/2018,763.0
12/08/2018,763.0
13/08/2018,763.0
14/08/2018,763.0
15/08/2018,763.0
16/08/2018,763.0
17/08/2018,763.0
18/08/2018,763.0
19/08/2018,763.0
20/08/2018,763.0
21/08/2018,763.0
22/08/2018,763.0
23/08/2018,763.0
24/08/2018,763.0
25/08/2018,763.0
26/08/2018,763.0
27/08/2018,763.0
28/08/2018,763.0
29/08/2018,763.0
30/08/2018,763.0
31/08/2018,763.0
01/09/2018,774.0
02/09/2018,774.0
03/09/2018,774.0
04/09/2018,774.0
05/09/2018,774.0
06/09/2018,774.0
07/09/2018,774.0
08/09/2018,774.0
09/09/2018,774.0
10/09/2018,774.0
11/09/2018,774.0
12/09/2018,774.0
13/09/2018,774.0
14/09/2018,774.0
15/09/2018,774.0
16/09/2018,774.0
17/09/2018,774.0
18/09/2018,774.0
19/09/2018,774.0
20/09/2018,774.0
21/09/2018,774.0
22/09/2018,774.0
23/09/2018,774.0
24/09/2018,774.0
25/09/2018,774.0
26/09/2018,774.0
27/09/2018,774.0
28/09/2018,774.0
29/09/2018,774.0
30/09/2018,774.0
31/09/2018,774.0
01/10/2018,760.0
02/10/2018,760.0
03/10/2018,760.0
04/10/2018,760.0
05/10/2018,760.0
06/10/2018,760.0
07/10/2018,760.0
08/10/2018,760.0
09/10/2018,760.0
10/10/2018,760.0
11/10/2018,760.0
12/10/2018,760.0
13/10/2018,760.0
14/10/2018,760.0
15/10/2018,760.0
16/10/2018,760.0
17/10/2018,760.0
18/10/2018,760.0
19/10/2018,760.0
20/10/2018,760.0
21/10/2018,760.0
22/10/2018,760.0
23/10/2018,760.0
24/10/2018,760.0
25/10/2018,760.0
26/10/2018,760.0
27/10/2018,760.0
28/10/2018,760.0
29/10/2018,760.0
30/10/2018,760.0
31/10/2018,760.0
01/11/2018,745.0
02/11/2018,745.0
03/11/2018,745.0
04/11/2018,745.0
05/11/2018,745.0
06/11/2018,745.0
07/11/2018,745.0
08/11/2018,745.0
09/11/2018,745.0
10/11/2018,745.0
11/11/2018,745.0
12/11/2018,745.0
13/11/2018,745.0
14/11/2018,745.0
15/11/2018,745.0
16/11/2018,745.0
17/11/2018,745.0
18/11/2018,745.0
19/11/2018,745.0
20/11/2018,745.0
