,variable,Date,value
235,aluminium (EUR),2018-08-31,1424.99
236,aluminium (EUR),2018-09-30,1383.93
237,aluminium (EUR),2018-10-31,1350.4
238,aluminium (EUR),2018-11-30,1351.93
239,aluminium (EUR),2018-12-31,1362.37
240,aluminium (EUR),2019-01-31,1277.91
241,aluminium (EUR),2019-02-28,1290.76
242,aluminium (EUR),2019-03-31,1268.65
243,aluminium (EUR),2019-04-30,1231.21
244,aluminium (EUR),2019-05-31,1201.89
245,aluminium (EUR),2019-06-30,1103.32
246,aluminium (EUR),2019-07-31,1160.55
247,aluminium (EUR),2019-08-31,1098.7
248,aluminium (EUR),2019-09-30,1137.89
249,aluminium (EUR),2019-10-31,1127.73
250,aluminium (EUR),2019-11-30,1185.37
251,aluminium (EUR),2019-12-31,1201.97
252,aluminium (EUR),2020-01-31,1240.7
253,aluminium (EUR),2020-02-29,1261.69
254,aluminium (EUR),2020-03-31,1150.13
255,aluminium (EUR),2020-04-30,1145.45
256,aluminium (EUR),2020-05-31,1168.19
257,aluminium (EUR),2020-06-30,1112.81
258,aluminium (EUR),2020-07-31,1152.9
259,aluminium (EUR),2020-08-31,1157.61
260,aluminium (EUR),2020-09-30,1263.89
261,aluminium (EUR),2020-10-31,1318.69
262,aluminium (EUR),2020-11-30,1315.44
263,aluminium (EUR),2020-12-31,1413.32
264,aluminium (EUR),2021-01-31,1715.66
265,aluminium (EUR),2021-02-28,1853.99
266,aluminium (EUR),2021-03-31,1842.74
267,aluminium (EUR),2021-04-30,1707.74
268,aluminium (EUR),2021-05-31,1734.64
269,aluminium (EUR),2021-06-30,1894.12
270,aluminium (EUR),2021-07-31,1928.12
271,aluminium (EUR),2021-08-31,1919.67
272,aluminium (EUR),2021-09-30,2085.43
273,aluminium (EUR),2021-10-31,2184.29
274,aluminium (EUR),2021-11-30,2017.22
275,aluminium (EUR),2021-12-31,1953.51
276,aluminium (EUR),2022-01-31,2167.4
277,aluminium (EUR),2022-02-28,2350.29
278,aluminium (EUR),2022-03-31,2539.09
279,aluminium (EUR),2022-04-30,2342.3
280,aluminium (EUR),2022-05-31,1851.39
281,aluminium (EUR),2022-06-30,1792.67
282,aluminium (EUR),2022-07-31,2146.05
283,aluminium (EUR),2022-08-31,1969.38
284,aluminium (EUR),2022-09-30,2135.88
285,aluminium (EUR),2022-10-31,2317.0
286,aluminium (EUR),2022-11-30,1947.5
287,aluminium (EUR),2022-12-31,2190.5
288,beams EUR/ton,2015-01-31,575.67
289,beams EUR/ton,2015-02-28,575.67
290,beams EUR/ton,2015-03-31,575.67
291,beams EUR/ton,2015-04-30,575.67
292,beams EUR/ton,2015-05-31,575.67
293,beams EUR/ton,2015-06-30,575.67
294,beams EUR/ton,2015-07-31,575.67
295,beams EUR/ton,2015-08-31,575.67
296,beams EUR/ton,2015-09-30,575.67
297,beams EUR/ton,2015-10-31,575.67
298,beams EUR/ton,2015-11-30,575.67
299,beams EUR/ton,2015-12-31,575.67
300,beams EUR/ton,2016-01-31,575.67
301,beams EUR/ton,2016-02-29,575.67
302,beams EUR/ton,2016-03-31,575.67
303,beams EUR/ton,2016-04-30,575.67
304,beams EUR/ton,2016-05-31,575.67
305,beams EUR/ton,2016-06-30,575.67
306,beams EUR/ton,2016-07-31,575.67
307,beams EUR/ton,2016-08-31,575.67
308,beams EUR/ton,2016-09-30,575.67
309,beams EUR/ton,2016-10-31,575.67
310,beams EUR/ton,2016-11-30,575.67
311,beams EUR/ton,2016-12-31,575.67
312,beams EUR/ton,2017-01-31,575.67
313,beams EUR/ton,2017-02-28,587.5
314,beams EUR/ton,2017-03-31,577.0
315,beams EUR/ton,2017-04-30,592.6
316,beams EUR/ton,2017-05-31,581.5
317,beams EUR/ton,2017-06-30,562.44
318,beams EUR/ton,2017-07-31,563.35
319,beams EUR/ton,2017-08-31,557.86
320,beams EUR/ton,2017-09-30,594.29
321,beams EUR/ton,2017-10-31,611.5
322,beams EUR/ton,2017-11-30,614.06
323,beams EUR/ton,2017-12-31,618.54
324,beams EUR/ton,2018-01-31,656.44
325,beams EUR/ton,2018-02-28,658.4
326,beams EUR/ton,2018-03-31,653.88
327,beams EUR/ton,2018-04-30,653.21
328,beams EUR/ton,2018-05-31,650.89
329,beams EUR/ton,2018-06-30,644.88
330,beams EUR/ton,2018-07-31,644.15
331,beams EUR/ton,2018-08-31,645.06
332,beams EUR/ton,2018-09-30,651.27
333,beams EUR/ton,2018-10-31,656.29
334,beams EUR/ton,2018-11-30,654.72
335,beams EUR/ton,2018-12-31,652.29
336,beams EUR/ton,2019-01-31,635.12
337,beams EUR/ton,2019-02-28,627.12
338,beams EUR/ton,2019-03-31,629.06
339,beams EUR/ton,2019-04-30,629.21
340,beams EUR/ton,2019-05-31,619.56
341,beams EUR/ton,2019-06-30,613.14
342,beams EUR/ton,2019-07-31,606.06
343,beams EUR/ton,2019-08-31,602.0
344,beams EUR/ton,2019-09-30,597.0
345,beams EUR/ton,2019-10-31,584.17
346,beams EUR/ton,2019-11-30,581.29
347,beams EUR/ton,2019-12-31,583.29
348,beams EUR/ton,2020-01-31,559.76
349,beams EUR/ton,2020-02-29,559.53
350,beams EUR/ton,2020-03-31,552.25
351,beams EUR/ton,2020-04-30,554.07
352,beams EUR/ton,2020-05-31,549.47
353,beams EUR/ton,2020-06-30,536.76
354,beams EUR/ton,2020-07-31,529.82
