,variable,Year/Month,value
346,coils EUR/ton,15/09,
347,coils EUR/ton,15/10,
348,coils EUR/ton,15/11,
349,coils EUR/ton,15/12,
350,coils EUR/ton,16/01,
351,coils EUR/ton,16/02,
352,coils EUR/ton,16/03,
353,coils EUR/ton,16/04,
354,coils EUR/ton,16/05,
355,coils EUR/ton,16/06,
356,coils EUR/ton,16/07,
357,coils EUR/ton,16/08,
358,coils EUR/ton,16/09,
359,coils EUR/ton,16/10,
360,coils EUR/ton,16/11,
361,coils EUR/ton,16/12,
362,coils EUR/ton,17/01,
363,coils EUR/ton,17/02,
364,coils EUR/ton,17/03,
365,coils EUR/ton,17/04,
366,coils EUR/ton,17/05,
367,coils EUR/ton,17/06,734.0
368,coils EUR/ton,17/07,701.0
369,coils EUR/ton,17/08,699.0
370,coils EUR/ton,17/09,724.0
371,coils EUR/ton,17/10,729.0
372,coils EUR/ton,17/11,727.0
373,coils EUR/ton,17/12,726.0
374,coils EUR/ton,18/01,737.0
375,coils EUR/ton,18/02,761.0
376,coils EUR/ton,18/03,768.0
377,coils EUR/ton,18/04,781.0
378,coils EUR/ton,18/05,773.0
379,coils EUR/ton,18/06,763.0
380,coils EUR/ton,18/07,763.0
381,coils EUR/ton,18/08,763.0
382,coils EUR/ton,18/09,774.0
383,coils EUR/ton,18/10,760.0
384,coils EUR/ton,18/11,745.0
385,coils EUR/ton,18/12,731.0
386,coils EUR/ton,19/01,712.0
387,coils EUR/ton,19/02,698.0
388,coils EUR/ton,19/03,701.0
389,coils EUR/ton,19/04,699.0
390,coils EUR/ton,19/05,685.0
391,coils EUR/ton,19/06,679.0
392,coils EUR/ton,19/07,677.0
393,coils EUR/ton,19/08,667.0
394,coils EUR/ton,19/09,666.0
395,coils EUR/ton,19/10,653.0
396,coils EUR/ton,19/11,635.0
397,coils EUR/ton,19/12,637.0
398,coils EUR/ton,20/01,655.0
399,coils EUR/ton,20/02,673.0
400,coils EUR/ton,20/03,680.0
401,coils EUR/ton,20/04,683.0
402,coils EUR/ton,20/05,660.0
403,coils EUR/ton,20/06,627.0
404,coils EUR/ton,20/07,615.0
405,coils EUR/ton,20/10,687.0
406,coils EUR/ton,20/11,713.0
407,coils EUR/ton,20/12,777.0
408,coils EUR/ton,21/01,890.0
409,coils EUR/ton,21/02,932.0
410,coils EUR/ton,21/03,966.0
411,coils EUR/ton,21/04,1116.0
412,coils EUR/ton,21/05,1271.0
413,coils EUR/ton,21/07,1384.0
414,coils EUR/ton,21/08,1391.0
415,coils EUR/ton,21/09,1383.0
416,coils EUR/ton,21/10,1334.0
417,coils EUR/ton,21/11,1251.0
418,coils EUR/ton,21/12,1190.0
419,coils EUR/ton,22/01,1170.0
420,coils EUR/ton,22/02,1173.0
421,coils EUR/ton,22/03,1408.0
422,coils EUR/ton,22/04,1614.0
423,coils EUR/ton,22/05,1426.0
424,coils EUR/ton,22/06,1285.0
425,copper,15/03,5885.95
426,copper,15/04,6018.51
427,copper,15/05,6291.06
428,copper,15/06,5883.3
429,copper,15/07,5523.64
430,copper,15/08,5166.59
431,copper,15/09,5202.07
432,copper,15/10,5178.49
433,copper,15/11,4789.62
434,copper,15/12,4628.88
435,copper,16/01,4460.25
436,copper,16/02,4583.46
437,copper,16/03,4906.44
438,copper,16/04,4849.78
439,copper,16/05,4689.14
440,copper,16/06,4653.45
441,copper,16/07,4912.54
442,copper,16/08,4793.01
443,copper,16/09,4786.7
444,copper,16/10,4789.51
445,copper,16/11,5479.44
446,copper,16/12,5668.5
447,copper,17/01,5782.99
448,copper,17/02,5971.41
449,copper,17/03,5871.61
450,copper,17/04,5759.51
451,copper,17/05,5681.15
452,copper,17/06,5795.33
453,copper,17/07,6066.26
454,copper,17/08,6576.99
455,copper,17/09,6689.25
456,copper,17/10,6909.4
457,copper,17/11,6919.89
458,copper,17/12,6935.9
459,copper,18/01,7215.29
460,copper,18/02,7147.94
461,copper,18/03,6937.4
462,copper,18/04,7012.36
463,copper,18/05,6954.67
464,copper,18/06,7029.27
465,copper,18/07,6361.28
466,copper,18/08,6155.2
467,copper,18/09,6094.55
468,copper,18/10,6208.31
469,copper,18/11,6132.79
470,copper,18/12,6078.85
471,copper,19/01,5991.62
472,copper,19/02,6317.08
473,copper,19/03,6429.08
474,copper,19/04,6487.05
475,copper,19/05,6095.75
476,copper,19/06,5954.3
477,copper,19/07,6007.12
478,copper,19/08,5794.86
479,copper,19/09,5822.41
480,copper,19/10,5841.31
481,copper,19/11,5943.39
482,copper,19/12,6145.59
483,copper,20/01,6128.69
484,copper,20/02,5774.08
485,copper,20/03,5254.53
486,copper,20/04,5152.1
487,copper,20/05,5366.12
488,copper,20/06,5810.99
489,copper,20/07,6333.69
490,copper,20/10,6807.3
491,copper,20/11,7066.72
492,copper,20/12,7753.52
493,copper,21/01,7907.4
494,copper,21/02,8278.69
495,copper,21/03,8833.83
496,copper,21/04,9251.18
497,copper,21/05,10080.99
498,copper,21/07,9637.08
499,copper,21/08,9260.19
500,copper,21/09,9245.5
501,copper,21/10,9500.62
502,copper,21/11,9472.01
503,copper,21/12,9343.34
504,copper,22/01,9567.4
505,copper,22/02,9693.52
506,copper,22/03,10131.89
507,copper,22/04,10157.0
508,copper,22/05,9355.47
509,copper,22/06,9299.4
510,fuel all EUR/L,15/03,1.22
511,fuel all EUR/L,15/04,1.23
512,fuel all EUR/L,15/05,1.27
513,fuel all EUR/L,15/06,1.25
514,fuel all EUR/L,15/07,1.21
515,fuel all EUR/L,15/08,1.16
516,fuel all EUR/L,15/09,1.15
517,fuel all EUR/L,15/10,
518,fuel all EUR/L,15/11,1.15
519,fuel all EUR/L,15/12,1.07
520,fuel all EUR/L,16/01,1.0
521,fuel all EUR/L,16/02,0.99
522,fuel all EUR/L,16/03,1.04
523,fuel all EUR/L,16/04,1.05
524,fuel all EUR/L,16/05,1.1
525,fuel all EUR/L,16/06,1.12
526,fuel all EUR/L,16/07,1.1
527,fuel all EUR/L,16/08,1.09
528,fuel all EUR/L,16/09,1.11
529,fuel all EUR/L,16/10,
530,fuel all EUR/L,16/11,1.13
531,fuel all EUR/L,16/12,1.19
532,fuel all EUR/L,17/01,1.2
533,fuel all EUR/L,17/02,1.2
534,fuel all EUR/L,17/03,1.18
535,fuel all EUR/L,17/04,1.18
536,fuel all EUR/L,17/05,1.16
537,fuel all EUR/L,17/06,1.13
538,fuel all EUR/L,17/07,1.13
539,fuel all EUR/L,17/08,1.14
540,fuel all EUR/L,17/09,1.17
541,fuel all EUR/L,17/10,
542,fuel all EUR/L,17/11,1.2
543,fuel all EUR/L,17/12,1.22
544,fuel all EUR/L,18/01,1.21
545,fuel all EUR/L,18/02,1.18
546,fuel all EUR/L,18/03,1.18
547,fuel all EUR/L,18/04,1.21
548,fuel all EUR/L,18/05,1.27
549,fuel all EUR/L,18/06,1.28
550,fuel all EUR/L,18/07,1.27
551,fuel all EUR/L,18/08,1.29
552,fuel all EUR/L,18/09,1.33
553,fuel all EUR/L,18/10,
554,fuel all EUR/L,18/11,1.43
555,fuel all EUR/L,18/12,1.3
556,fuel all EUR/L,19/01,1.23
557,fuel all EUR/L,19/02,1.25
558,fuel all EUR/L,19/03,1.26
559,fuel all EUR/L,19/04,1.27
560,fuel all EUR/L,19/05,1.3
561,fuel all EUR/L,19/06,1.26
562,fuel all EUR/L,19/07,1.25
563,fuel all EUR/L,19/08,1.24
564,fuel all EUR/L,19/09,1.26
565,fuel all EUR/L,19/10,
566,fuel all EUR/L,19/11,1.26
567,fuel all EUR/L,19/12,1.27
568,fuel all EUR/L,20/01,1.3
569,fuel all EUR/L,20/02,1.24
570,fuel all EUR/L,20/03,1.16
571,fuel all EUR/L,20/04,1.08
572,fuel all EUR/L,20/05,1.05
573,fuel all EUR/L,20/06,1.08
574,fuel all EUR/L,20/07,1.09
575,fuel all EUR/L,20/10,
576,fuel all EUR/L,20/11,1.05
577,fuel all EUR/L,20/12,1.11
578,fuel all EUR/L,21/01,1.24
579,fuel all EUR/L,21/02,1.28
580,fuel all EUR/L,21/03,1.32
581,fuel all EUR/L,21/04,1.31
582,fuel all EUR/L,21/05,1.33
583,fuel all EUR/L,21/07,1.39
584,fuel all EUR/L,21/08,1.39
585,fuel all EUR/L,21/09,1.41
586,fuel all EUR/L,21/10,
587,fuel all EUR/L,21/11,1.56
588,fuel all EUR/L,21/12,1.53
589,fuel all EUR/L,22/01,1.6
590,fuel all EUR/L,22/02,1.67
591,fuel all EUR/L,22/03,2.14
592,fuel all EUR/L,22/04,2.03
593,fuel all EUR/L,22/05,2.04
594,fuel all EUR/L,22/06,2.02
595,fuel fr EUR/L,15/03,1.01
596,fuel fr EUR/L,15/04,1.0
597,fuel fr EUR/L,15/05,1.03
598,fuel fr EUR/L,15/06,1.01
599,fuel fr EUR/L,15/07,0.98
600,fuel fr EUR/L,15/08,0.93
601,fuel fr EUR/L,15/09,0.92
602,fuel fr EUR/L,15/10,0.92
603,fuel fr EUR/L,15/11,0.92
604,fuel fr EUR/L,15/12,0.86
605,fuel fr EUR/L,16/01,0.85
606,fuel fr EUR/L,16/02,0.85
607,fuel fr EUR/L,16/03,0.88
608,fuel fr EUR/L,16/04,0.89
609,fuel fr EUR/L,16/05,0.94
610,fuel fr EUR/L,16/06,0.96
611,fuel fr EUR/L,16/07,0.93
612,fuel fr EUR/L,16/08,0.92
613,fuel fr EUR/L,16/09,0.93
614,fuel fr EUR/L,16/10,0.97
615,fuel fr EUR/L,16/11,0.95
616,fuel fr EUR/L,16/12,1.0
617,fuel fr EUR/L,17/01,1.06
618,fuel fr EUR/L,17/02,1.05
619,fuel fr EUR/L,17/03,1.04
620,fuel fr EUR/L,17/04,1.04
621,fuel fr EUR/L,17/05,1.01
622,fuel fr EUR/L,17/06,0.98
623,fuel fr EUR/L,17/07,0.98
624,fuel fr EUR/L,17/08,1.0
625,fuel fr EUR/L,17/09,1.02
626,fuel fr EUR/L,17/10,1.03
627,fuel fr EUR/L,17/11,1.06
628,fuel fr EUR/L,17/12,1.07
629,fuel fr EUR/L,18/01,1.16
630,fuel fr EUR/L,18/02,1.15
631,fuel fr EUR/L,18/03,1.14
632,fuel fr EUR/L,18/04,1.17
633,fuel fr EUR/L,18/05,1.21
634,fuel fr EUR/L,18/06,1.22
635,fuel fr EUR/L,18/07,1.2
636,fuel fr EUR/L,18/08,1.21
637,fuel fr EUR/L,18/09,1.23
638,fuel fr EUR/L,18/10,1.27
639,fuel fr EUR/L,18/11,1.22
640,fuel fr EUR/L,18/12,1.18
641,fuel fr EUR/L,19/01,1.17
642,fuel fr EUR/L,19/02,1.19
643,fuel fr EUR/L,19/03,1.22
644,fuel fr EUR/L,19/04,1.22
645,fuel fr EUR/L,19/05,1.23
646,fuel fr EUR/L,19/06,1.18
647,fuel fr EUR/L,19/07,1.18
648,fuel fr EUR/L,19/08,1.18
649,fuel fr EUR/L,19/09,1.2
650,fuel fr EUR/L,19/10,1.2
651,fuel fr EUR/L,19/11,1.2
652,fuel fr EUR/L,19/12,1.22
653,fuel fr EUR/L,20/01,1.23
654,fuel fr EUR/L,20/02,1.17
655,fuel fr EUR/L,20/03,1.07
656,fuel fr EUR/L,20/04,1.01
657,fuel fr EUR/L,20/05,0.97
658,fuel fr EUR/L,20/06,1.01
659,fuel fr EUR/L,20/07,1.03
660,fuel fr EUR/L,20/10,1.0
661,fuel fr EUR/L,20/11,1.01
662,fuel fr EUR/L,20/12,1.05
663,fuel fr EUR/L,21/01,1.08
664,fuel fr EUR/L,21/02,1.12
665,fuel fr EUR/L,21/03,1.15
666,fuel fr EUR/L,21/04,1.15
667,fuel fr EUR/L,21/05,1.16
668,fuel fr EUR/L,21/07,1.2
669,fuel fr EUR/L,21/08,1.19
670,fuel fr EUR/L,21/09,1.21
671,fuel fr EUR/L,21/10,1.28
672,fuel fr EUR/L,21/11,1.3
673,fuel fr EUR/L,21/12,1.27
674,fuel fr EUR/L,22/01,1.36
675,fuel fr EUR/L,22/02,1.42
676,fuel fr EUR/L,22/03,1.69
677,fuel fr EUR/L,22/04,1.69
678,fuel fr EUR/L,22/05,1.72
679,fuel fr EUR/L,22/06,
