,aluminium (USD)
24/10/2019,1241.0
23/10/2019,1226.0
21/10/2019,1210.0
17/10/2019,1159.0
16/10/2019,1158.75
15/10/2019,1158.5
14/10/2019,1163.5
10/10/2019,1173.25
09/10/2019,1188.25
08/10/2019,1158.25
07/10/2019,1148.25
03/10/2019,1183.0
02/10/2019,1178.0
01/10/2019,1178.0
30/09/2019,1167.5
26/09/2019,1177.0
25/09/2019,1177.0
24/09/2019,1207.0
23/09/2019,1206.5
19/09/2019,1210.5
18/09/2019,1215.5
17/09/2019,1175.5
16/09/2019,1175.5
12/09/2019,1175.5
11/09/2019,1190.0
10/09/2019,1170.0
05/09/2019,1134.5
04/09/2019,1119.5
03/09/2019,1129.5
02/09/2019,1134.0
29/08/2019,1138.5
28/08/2019,1148.5
27/08/2019,1148.0
22/08/2019,1142.5
21/08/2019,1157.5
20/08/2019,1152.0
19/08/2019,1177.0
15/08/2019,1179.5
14/08/2019,1192.0
13/08/2019,1211.5
12/08/2019,1216.5
08/08/2019,1251.5
07/08/2019,1256.0
06/08/2019,1300.5
05/08/2019,1264.92
01/08/2019,1279.5
31/07/2019,1289.0
30/07/2019,1289.0
29/07/2019,1284.0
25/07/2019,1299.0
23/07/2019,1284.0
22/07/2019,1254.0
18/07/2019,1263.5
17/07/2019,1228.5
16/07/2019,1213.5
15/07/2019,1223.5
11/07/2019,1213.5
10/07/2019,1248.5
09/07/2019,1248.5
08/07/2019,1223.5
04/07/2019,1198.5
03/07/2019,1186.5
02/07/2019,1166.5
01/07/2019,1161.5
27/06/2019,1185.0
26/06/2019,1184.5
25/06/2019,1139.5
24/06/2019,1154.5
20/06/2019,1184.0
19/06/2019,1165.0
18/06/2019,1205.0
17/06/2019,1185.0
13/06/2019,1189.0
12/06/2019,1203.5
10/06/2019,1193.0
06/06/2019,1204.0
05/06/2019,1194.0
04/06/2019,1219.5
03/06/2019,1244.0
30/05/2019,1260.0
29/05/2019,1269.25
28/05/2019,1279.0
23/05/2019,1298.25
22/05/2019,1358.5
21/05/2019,1383.0
20/05/2019,1373.0
16/05/2019,1403.0
15/05/2019,1379.0
14/05/2019,1427.0
13/05/2019,1427.0
09/05/2019,1423.0
08/05/2019,1423.0
07/05/2019,1423.5
02/05/2019,1420.0
01/05/2019,1410.5
30/04/2019,1430.0
29/04/2019,1435.0
25/04/2019,1436.0
23/04/2019,1426.5
17/04/2019,1435.0
16/04/2019,1420.25
15/04/2019,1415.5
11/04/2019,1441.5
10/04/2019,1462.0
09/04/2019,1440.0
08/04/2019,1426.5
04/04/2019,1462.5
03/04/2019,1478.0
02/04/2019,1508.5
01/04/2019,1509.0
28/03/2019,1490.0
27/03/2019,1485.5
26/03/2019,1491.0
25/03/2019,1486.5
21/03/2019,1533.0
20/03/2019,1523.5
19/03/2019,1519.0
18/03/2019,1524.0
14/03/2019,1535.0
13/03/2019,1535.5
12/03/2019,1536.0
11/03/2019,1531.5
04/03/2021,2221.75
03/03/2021,2222.5
02/03/2021,2222.25
01/03/2021,2232.0
25/02/2021,2231.0
24/02/2021,2255.75
23/02/2021,2225.75
22/02/2021,2225.5
18/02/2021,2164.0
17/02/2021,2166.0
16/02/2021,2150.0
15/02/2021,2150.0
11/02/2021,2020.0
10/02/2021,2020.0
09/02/2021,1970.0
08/02/2021,1970.0
04/02/2021,1936.5
03/02/2021,1980.0
02/02/2021,1960.0
01/02/2021,1960.0
28/01/2021,1920.0
27/01/2021,1920.0
26/01/2021,1920.0
25/01/2021,1920.0
20/01/2021,1919.5
19/01/2021,1919.25
18/01/2021,1919.25
14/01/2021,1928.0
13/01/2021,1927.5
12/01/2021,1927.0
11/01/2021,1927.0
07/01/2021,1925.75
06/01/2021,1925.25
05/01/2021,1888.25
04/01/2021,1888.25
30/12/2020,1887.0
29/12/2020,1886.5
23/12/2020,1884.75
22/12/2020,1884.25
21/12/2020,1881.25
17/12/2020,1880.0
16/12/2020,1865.0
15/12/2020,1850.0
14/12/2020,1850.0
10/12/2020,1850.0
09/12/2020,1820.0
08/12/2020,1800.0
07/12/2020,1800.0
02/12/2020,1710.0
01/12/2020,1710.0
30/11/2020,1693.0
26/11/2020,1660.0
25/11/2020,1660.0
24/11/2020,1660.0
23/11/2020,1665.0
19/11/2020,1665.0
18/11/2020,1675.0
17/11/2020,1675.0
16/11/2020,1650.0
12/11/2020,1630.0
11/11/2020,1630.25
10/11/2020,1630.5
09/11/2020,1630.25
05/11/2020,1580.5
04/11/2020,1558.75
03/11/2020,1548.75
02/11/2020,1528.75
29/10/2020,1528.5
28/10/2020,1548.5
27/10/2020,1548.5
26/10/2020,1548.5
22/10/2020,1588.25
20/10/2020,1598.25
19/10/2020,1578.25
15/10/2020,1558.25
14/10/2020,1548.25
13/10/2020,1548.25
12/10/2020,1512.25
08/10/2020,1547.25
07/10/2020,1547.25
06/10/2020,1547.25
05/10/2020,1547.25
01/10/2020,1507.75
30/09/2020,1518.75
29/09/2020,1597.25
28/09/2020,1537.25
24/09/2020,1497.0
23/09/2020,1477.0
22/09/2020,1477.0
21/09/2020,1467.0
17/09/2020,1472.0
16/09/2020,1472.0
15/09/2020,1472.0
14/09/2020,1437.0
10/09/2020,1487.0
09/09/2020,1477.0
07/09/2020,1502.0
