,aluminium (USD)
04/11/2020,1541.0
03/11/2020,1510.5
02/11/2020,1510.5
29/10/2020,1500.75
28/10/2020,1549.75
27/10/2020,1539.75
26/10/2020,1519.75
22/10/2020,1569.75
21/10/2020,1579.75
19/10/2020,1559.75
15/10/2020,1535.75
14/10/2020,1479.75
13/10/2020,1469.75
12/10/2020,1489.75
08/10/2020,1509.75
07/10/2020,1510.25
06/10/2020,1499.75
05/10/2020,1489.75
01/10/2020,1489.75
30/09/2020,1499.75
29/09/2020,1578.0
28/09/2020,1517.5
24/09/2020,1477.0
23/09/2020,1456.0
22/09/2020,1461.0
21/09/2020,1445.5
17/09/2020,1450.0
16/09/2020,1455.0
15/09/2020,1400.5
14/09/2020,1440.0
10/09/2020,1490.5
09/09/2020,1460.0
08/09/2020,1475.0
03/09/2020,1485.0
02/09/2020,1495.0
01/09/2020,1460.0
27/08/2020,1299.75
26/08/2020,1360.0
25/08/2020,1341.75
24/08/2020,1321.75
20/08/2020,1350.0
19/08/2020,1295.25
18/08/2020,1294.75
17/08/2020,1299.75
13/08/2020,1338.25
12/08/2020,1338.75
11/08/2020,1338.75
10/08/2020,1342.75
06/08/2020,1329.75
05/08/2020,1329.75
04/08/2020,1314.75
03/08/2020,1299.75
30/07/2020,1300.0
29/07/2020,1299.75
28/07/2020,1299.75
27/07/2020,1309.75
23/07/2020,1305.0
21/07/2020,1259.75
20/07/2020,1249.75
16/07/2020,1259.75
15/07/2020,1259.75
14/07/2020,1240.0
13/07/2020,1240.0
09/07/2020,1180.25
08/07/2020,1149.75
07/07/2020,1179.75
06/07/2020,1219.75
02/07/2020,1214.75
01/07/2020,1214.75
30/06/2020,1215.0
29/06/2020,1214.0
25/06/2020,1214.0
24/06/2020,1214.0
23/06/2020,1214.0
22/06/2020,1214.0
18/06/2020,1214.0
17/06/2020,1214.0
16/06/2020,1215.0
15/06/2020,1214.5
11/06/2020,1214.0
10/06/2020,1190.0
08/06/2020,1210.0
04/06/2020,1196.0
03/06/2020,1180.0
02/06/2020,1160.0
01/06/2020,1225.0
28/05/2020,1230.0
27/05/2020,1270.0
26/05/2020,1265.0
21/05/2020,1200.0
20/05/2020,1203.0
19/05/2020,1220.0
18/05/2020,1220.0
14/05/2020,1199.75
13/05/2020,1183.25
12/05/2020,1189.75
11/05/2020,1175.75
06/05/2020,1175.0
05/05/2020,1175.0
30/04/2020,1196.0
29/04/2020,1221.0
28/04/2020,1210.0
27/04/2020,1230.0
23/04/2020,1245.0
22/04/2020,1186.0
20/04/2020,1165.0
16/04/2020,1140.0
15/04/2020,1140.0
14/04/2020,1140.0
08/04/2020,1140.0
07/04/2020,1150.5
06/04/2020,1130.0
02/04/2020,1150.0
01/04/2020,1150.0
31/03/2020,1160.0
30/03/2020,1160.0
26/03/2020,1158.0
25/03/2020,1157.5
24/03/2020,1147.0
23/03/2020,1162.0
19/03/2020,1175.0
18/03/2020,1210.0
17/03/2020,1305.0
16/03/2020,1355.0
12/03/2020,1355.0
11/03/2020,1355.0
10/03/2020,1375.0
03/03/2022,2718.0
02/03/2022,2717.0
01/03/2022,2717.0
28/02/2022,2702.0
24/02/2022,2652.0
23/02/2022,2651.0
22/02/2022,2651.0
21/02/2022,2651.0
17/02/2022,2651.0
16/02/2022,2650.0
15/02/2022,2630.0
14/02/2022,2630.0
10/02/2022,2590.0
09/02/2022,2590.0
08/02/2022,2590.0
07/02/2022,2540.0
03/02/2022,2495.0
