,Date,variable,value
285,05/10/2016,aluminium (EUR),1444.47
286,04/10/2016,aluminium (EUR),1444.47
287,03/10/2016,aluminium (EUR),1444.47
288,30/09/2016,aluminium (EUR),1444.915
289,29/09/2016,aluminium (EUR),1444.915
290,28/09/2016,aluminium (EUR),1440.91
291,27/09/2016,aluminium (EUR),1440.91
292,26/09/2016,aluminium (EUR),1440.91
293,23/09/2016,aluminium (EUR),1441.355
294,22/09/2016,aluminium (EUR),1441.5775
295,21/09/2016,aluminium (EUR),1432.9
296,20/09/2016,aluminium (EUR),1453.5
297,19/09/2016,aluminium (EUR),1442.0225
298,16/09/2016,aluminium (EUR),
299,15/09/2016,aluminium (EUR),1442.4675
300,13/09/2016,aluminium (EUR),1442.9125
301,12/09/2016,aluminium (EUR),1443.135
302,09/09/2016,aluminium (EUR),1443.58
303,08/09/2016,aluminium (EUR),1448.2525
304,07/09/2016,aluminium (EUR),1448.475
305,06/09/2016,aluminium (EUR),1448.475
306,05/09/2016,aluminium (EUR),1464.75
307,02/09/2016,aluminium (EUR),1474.2
308,01/09/2016,aluminium (EUR),1457.82
309,31/08/2016,aluminium (EUR),1471.7250000000001
310,30/08/2016,aluminium (EUR),1471.7250000000001
311,26/08/2016,aluminium (EUR),1456.04
312,25/08/2016,aluminium (EUR),1456.04
313,24/08/2016,aluminium (EUR),1456.04
314,23/08/2016,aluminium (EUR),1440.1200000000001
315,22/08/2016,aluminium (EUR),1440.1200000000001
316,19/08/2016,aluminium (EUR),1440.56
317,18/08/2016,aluminium (EUR),1422.96
318,17/08/2016,aluminium (EUR),1439.13
319,16/08/2016,aluminium (EUR),1439.13
320,15/08/2016,aluminium (EUR),1439.13
321,12/08/2016,aluminium (EUR),
322,11/08/2016,aluminium (EUR),1451.025
323,10/08/2016,aluminium (EUR),1435.57
324,08/08/2016,aluminium (EUR),1451.7
325,05/08/2016,aluminium (EUR),1452.6000000000001
326,04/08/2016,aluminium (EUR),1452.6000000000001
327,03/08/2016,aluminium (EUR),1452.6000000000001
328,02/08/2016,aluminium (EUR),1450.0325
329,01/08/2016,aluminium (EUR),1444.05
330,29/07/2016,aluminium (EUR),1451.25
331,28/07/2016,aluminium (EUR),1451.25
332,27/07/2016,aluminium (EUR),1437.9750000000001
333,26/07/2016,aluminium (EUR),1454.18
334,25/07/2016,aluminium (EUR),1467.6025
335,22/07/2016,aluminium (EUR),1431.885
336,21/07/2016,aluminium (EUR),1431.885
337,20/07/2016,aluminium (EUR),1432.1125
338,19/07/2016,aluminium (EUR),1432.3400000000001
339,18/07/2016,aluminium (EUR),1416.6000000000001
340,15/07/2016,aluminium (EUR),1469.1950000000002
341,14/07/2016,aluminium (EUR),1453.05
342,13/07/2016,aluminium (EUR),1457.55
343,12/07/2016,aluminium (EUR),1439.775
344,11/07/2016,aluminium (EUR),1440.0
345,08/07/2016,aluminium (EUR),
346,07/07/2016,aluminium (EUR),1440.675
347,06/07/2016,aluminium (EUR),1440.9
348,04/07/2016,aluminium (EUR),1440.9
349,01/07/2016,aluminium (EUR),1441.8
350,30/06/2016,aluminium (EUR),1439.1000000000001
351,29/06/2016,aluminium (EUR),1439.55
352,28/06/2016,aluminium (EUR),1440.0
353,27/06/2016,aluminium (EUR),1456.4550000000002
354,24/06/2016,aluminium (EUR),1440.9
355,23/06/2016,aluminium (EUR),1408.88
356,22/06/2016,aluminium (EUR),1417.68
357,21/06/2016,aluminium (EUR),1433.79
358,20/06/2016,aluminium (EUR),1408.88
359,17/06/2016,aluminium (EUR),1430.4525
360,16/06/2016,aluminium (EUR),1430.4525
361,15/06/2016,aluminium (EUR),1430.675
